Date,PX_LOW,PX_HIGH,PX_VOLUME,PX_OPEN,PX_CLOSE_1D,BEST_PE_RATIO,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,BEST_DIV_YLD
5/29/12,1318.9,1334.93,551034560,1318.9,1317.82,12.7031,12347175,1.06,2.25
5/30/12,1310.76,1331.25,579744448,1331.25,1332.42,12.525,12168270,1.06,2.29
5/31/12,1298.9,1319.74,940987904,1313.09,1313.32,12.4985,12141185,1.06,2.29
6/1/12,1277.25,1309.87,782329216,1309.87,1310.33,12.176,11839157,1.06,2.35
6/4/12,1266.74,1282.55,636003520,1278.29,1278.04,12.1807,11842503,1.06,2.35
6/5/12,1274.16,1287.62,558529088,1277.82,1278.18,12.2639,11915067,1.06,2.34
6/6/12,1285.61,1315.13,653012480,1285.61,1285.5,12.5577,12187085,1.06,2.28
6/7/12,1312.68,1329.05,649398272,1316.15,1315.13,12.5656,12184583,1.06,2.28
6/8/12,1307.77,1325.81,527355584,1314.99,1314.99,12.6732,12286064,1.06,2.27
6/11/12,1307.73,1335.52,566477568,1325.72,1325.66,12.52,12130179,1.06,2.3
6/12/12,1306.62,1324.31,573969664,1309.4,1308.93,12.6692,12270155,1.06,2.27
6/13/12,1310.51,1327.28,553916544,1324.02,1324.18,12.5832,12183412,1.06,2.29
6/14/12,1314.14,1333.68,608080832,1314.88,1314.88,12.7236,12314202,1.06,2.26
6/15/12,1329.19,1343.32,1142064512,1329.19,1329.1,12.8567,12442346,1.06,2.24
6/18/12,1334.46,1348.22,541540352,1342.42,1342.84,12.9153,12461042,1.06,2.23
6/19/12,1344.83,1363.46,586777024,1344.83,1344.78,13.0394,12584112,1.06,2.21
6/20/12,1346.45,1361.57,573363520,1358.04,1357.98,13.0218,12565416,1.06,2.22
6/21/12,1324.41,1358.27,677975104,1355.43,1355.69,12.7366,12286175,1.06,2.27
6/22/12,1325.92,1337.82,929155264,1325.92,1325.51,12.8279,12372737,1.06,2.25
6/25/12,1309.27,1334.9,596905600,1334.9,1335.02,12.6329,12177128,1.06,2.28
6/26/12,1310.3,1324.24,547627008,1314.09,1313.72,12.6994,12233073,1.06,2.27
6/27/12,1320.71,1334.4,499623200,1320.71,1319.99,12.8217,12339527,1.06,2.25
6/28/12,1313.29,1331.52,692647680,1331.52,1331.85,12.7352,12312356,1.06,2.27
6/29/12,1330.12,1362.17,852422592,1330.12,1329.04,13.0708,12622292,1.06,2.21
7/2/12,1355.7,1366.35,544980352,1362.33,1362.16,13.0074,12645081,1.06,2.22
7/3/12,1363.53,1374.81,333851968,1365.75,1365.51,13.0898,12744533,1.06,2.2
7/4/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0907,12744533,#N/A N/A,#N/A N/A
7/5/12,1363.02,1373.85,491600352,1373.72,1374.02,13.0258,12686194,1.06,2.22
7/6/12,1348.03,1367.09,473916928,1367.09,1367.58,12.9123,12567568,1.06,2.24
7/9/12,1346.65,1354.87,488606816,1354.66,1354.68,12.9107,12546123,1.06,2.24
7/10/12,1336.27,1361.54,557255488,1352.96,1352.46,12.8175,12445999,1.06,2.26
7/11/12,1333.25,1345,593599744,1341.4,1341.47,12.8485,12444697,1.06,2.26
7/12/12,1325.41,1341.29,597917568,1341.29,1341.45,12.7956,12382328,1.06,2.27
7/13/12,1334.81,1357.7,522352416,1334.81,1334.76,13.0183,12587840,1.06,2.24
7/16/12,1348.51,1357.26,460679168,1356.5,1356.78,12.988,12557110,1.06,2.24
7/17/12,1345.07,1365.36,555196352,1353.68,1353.64,13.0869,12649437,1.06,2.22
7/18/12,1358.96,1375.26,574492608,1363.58,1363.67,13.2705,12732264,1.06,2.19
7/19/12,1371.21,1380.39,632230592,1373.01,1372.78,13.3121,12763887,1.06,2.19
7/20/12,1362.19,1376.51,851833152,1376.51,1376.51,13.1994,12635341,1.06,2.21
7/23/12,1337.56,1362.34,591714432,1362.34,1362.66,13.0835,12522178,1.06,2.23
7/24/12,1329.24,1351.53,618430144,1350.52,1350.52,12.9754,12408007,1.06,2.25
7/25/12,1331.5,1343.98,644463232,1338.35,1338.31,12.9998,12402270,1.06,2.26
7/26/12,1338.17,1363.13,706269376,1338.17,1337.89,13.2242,12607822,1.06,2.22
7/27/12,1360.05,1389.19,740609664,1360.05,1360.02,13.4905,12849159,1.06,2.18
7/30/12,1381.37,1391.74,485088288,1385.94,1385.97,13.4106,12843260,1.06,2.2
7/31/12,1379.17,1387.16,669791488,1385.27,1385.3,13.348,12777103,1.06,2.21
8/1/12,1373.35,1385.03,692288896,1379.32,1379.32,13.2961,12734611,1.06,2.22
8/2/12,1354.65,1375.13,615911936,1375.13,1375.14,13.1917,12635507,1.06,2.23
8/3/12,1365.45,1394.16,551810752,1365.45,1365,13.444,12868638,1.06,2.19
8/6/12,1391.04,1399.63,479899136,1391.04,1390.99,13.4603,12893291,1.06,2.19
8/7/12,1394.46,1407.14,520057440,1394.46,1394.23,13.6018,12961465,1.06,2.17
8/8/12,1396.13,1404.14,467030848,1401.23,1401.35,13.607,12971969,1.06,2.16
8/9/12,1398.8,1405.95,449661728,1402.26,1402.22,13.5341,12971214,1.06,2.18
8/10/12,1395.62,1405.98,442052672,1402.58,1402.8,13.5646,12997832,1.06,2.17
